energy,productivity,fun,hunger
0.626723,0.782361,0.846212,0.88775
0.62666,0.782343,0.871511,0.887661
0.626284,0.782325,0.871424,0.887573
0.625908,0.782307,0.871337,0.887484
0.625533,0.782288,0.87125,0.887395
0.625157,0.78227,0.871163,0.887306
0.624782,0.782252,0.871075,0.887218
0.624408,0.782234,0.870988,0.887129
0.624033,0.782216,0.870901,0.88704
0.623659,0.782198,0.870814,0.886951
0.623284,0.78218,0.870727,0.886863
0.62291,0.782162,0.87064,0.886774
0.622537,0.782144,0.870553,0.886685
0.622163,0.782126,0.870466,0.886597
0.62179,0.782108,0.870379,0.886508
0.621417,0.78209,0.870292,0.886419
0.621044,0.782071,0.870205,0.886331
0.620671,0.782053,0.870118,0.886242
0.620299,0.782035,0.870031,0.886153
0.619927,0.782017,0.869944,0.886065
0.619555,0.781999,0.869857,0.885976
0.619183,0.781981,0.86977,0.885888
0.618812,0.781963,0.869683,0.885799
0.618441,0.781945,0.869596,0.88571
0.61807,0.781927,0.869509,0.885622
0.617699,0.781909,0.869422,0.885533
0.617637,0.781891,0.869335,0.885445
0.617575,0.781872,0.895325,0.885356
0.617205,0.781854,0.895236,0.885268
0.616834,0.781836,0.895146,0.885179
0.616464,0.781818,0.895057,0.885091
0.616095,0.7818,0.894967,0.885002
0.615725,0.781782,0.894878,0.884914
0.615355,0.781764,0.894788,0.884825
0.614986,0.781746,0.894699,0.884737
0.614617,0.781728,0.894609,0.884648
0.614249,0.78171,0.89452,0.88456
0.61388,0.781692,0.894431,0.884471
0.613512,0.781674,0.894341,0.884383
0.613144,0.781656,0.894252,0.884294
0.612776,0.781637,0.894162,0.884206
0.612408,0.781619,0.894073,0.884118
0.612041,0.781601,0.893983,0.884029
0.611674,0.781583,0.893894,0.883941
0.611307,0.781565,0.893805,0.883852
0.61094,0.781547,0.893715,0.883764
0.610573,0.781529,0.893626,0.883676
0.610207,0.781511,0.893537,0.883587
0.609841,0.781493,0.893447,0.883499
0.609475,0.781475,0.893358,0.883411
0.609109,0.781457,0.893269,0.883322
0.608744,0.781439,0.893179,0.883234
0.608379,0.781421,0.89309,0.883146
0.608318,0.781402,0.893001,0.883057
0.608257,0.781384,0.919699,0.882969
0.607892,0.781366,0.919607,0.882881
0.607527,0.781348,0.919515,0.882792
0.607163,0.78133,0.919423,0.882704
0.606799,0.781312,0.919331,0.882616
0.606435,0.781294,0.919239,0.882527
0.606071,0.781276,0.919147,0.882439
0.605707,0.781258,0.919055,0.882351
0.605344,0.78124,0.918963,0.882263
0.604981,0.781222,0.918871,0.882175
0.604618,0.781204,0.918779,0.882086
0.604255,0.781186,0.918687,0.881998
0.603892,0.781168,0.918596,0.88191
0.60353,0.78115,0.918504,0.881822
0.603168,0.781131,0.918412,0.881734
0.602806,0.781113,0.91832,0.881645
0.602445,0.781095,0.918228,0.881557
0.602083,0.781077,0.918136,0.881469
0.601722,0.781059,0.918045,0.881381
0.601361,0.781041,0.917953,0.881293
0.601,0.781023,0.917861,0.881205
0.600639,0.781005,0.917769,0.881117
0.600279,0.780987,0.917677,0.881028
0.599919,0.780969,0.917586,0.88094
0.599559,0.780951,0.917494,0.880852
0.599199,0.780933,0.917402,0.880764
0.59884,0.780915,0.91731,0.880676
0.59878,0.780897,0.917219,0.880588
0.59872,0.780879,0.944641,0.8805
0.598361,0.780861,0.944546,0.880412
0.598002,0.780842,0.944452,0.880324
0.597643,0.780824,0.944357,0.880236
0.597285,0.780806,0.944263,0.880148
0.596926,0.780788,0.944168,0.88006
0.596568,0.78077,0.944074,0.879972
0.59621,0.780752,0.94398,0.879884
0.595853,0.780734,0.943885,0.879796
0.595495,0.780716,0.943791,0.879708
0.595138,0.780698,0.943697,0.87962
0.594781,0.78068,0.943602,0.879532
0.594424,0.780662,0.943508,0.879444
0.594067,0.780644,0.943413,0.879356
0.593711,0.780626,0.943319,0.879268
0.593355,0.780608,0.943225,0.87918
0.592999,0.78059,0.94313,0.879092
0.592643,0.780572,0.943036,0.879004
0.592287,0.780554,0.942942,0.878916
0.591932,0.780536,0.942848,0.878828
0.591577,0.780517,0.942753,0.878741
0.591222,0.780499,0.942659,0.878653
0.590867,0.780481,0.942565,0.878565
0.590513,0.780463,0.94247,0.878477
0.590158,0.780445,0.942376,0.878389
0.589804,0.780427,0.942282,0.878301
0.589451,0.780409,0.942188,0.878213
0.589097,0.780391,0.942094,0.878126
0.588744,0.780373,0.941999,0.878038
0.58839,0.780355,0.941905,0.87795
0.588037,0.780337,0.941811,0.877862
0.587684,0.780319,0.941717,0.877774
0.587332,0.780301,0.941623,0.877687
0.58698,0.780283,0.941528,0.877599
0.586627,0.780265,0.941434,0.877511
0.586275,0.780247,0.94134,0.877423
0.585924,0.780229,0.941246,0.877336
0.585572,0.780211,0.941152,0.877248
0.585221,0.780193,0.941058,0.87716
0.58487,0.780175,0.940964,0.877072
0.584519,0.780157,0.94087,0.876985
0.584168,0.780139,0.940775,0.876897
0.583818,0.78012,0.940681,0.876809
0.583467,0.780102,0.940587,0.876722
0.583409,0.780084,0.940493,0.876634
0.583351,0.780066,0.968611,0.876546
0.583001,0.780048,0.968514,0.876459
0.582651,0.78003,0.968417,0.876371
0.582301,0.780012,0.968321,0.876283
0.581952,0.779994,0.968224,0.876196
0.581603,0.779976,0.968127,0.876108
0.581254,0.779958,0.96803,0.876021
0.580905,0.77994,0.967933,0.875933
0.580557,0.779922,0.967837,0.875845
0.580208,0.779904,0.96774,0.875758
0.57986,0.779886,0.967643,0.87567
0.579512,0.779868,0.967546,0.875583
0.579165,0.77985,0.967449,0.875495
0.578817,0.779832,0.967353,0.875408
0.57847,0.779814,0.967256,0.87532
0.578123,0.779796,0.967159,0.875232
0.577776,0.779778,0.967063,0.875145
0.57743,0.77976,0.966966,0.875057
0.577083,0.779742,0.966869,0.87497
0.576737,0.779724,0.966772,0.874882
0.576391,0.779706,0.966676,0.874795
0.576045,0.779688,0.966579,0.874707
0.575699,0.77967,0.966482,0.87462
0.575354,0.779652,0.966386,0.874533
0.575009,0.779633,0.966289,0.874445
0.574664,0.779615,0.966193,0.874358
0.574319,0.779597,0.966096,0.87427
0.573975,0.779579,0.965999,0.874183
0.57363,0.779561,0.965903,0.874095
0.573286,0.779543,0.965806,0.874008
0.572942,0.779525,0.96571,0.873921
0.572598,0.779507,0.965613,0.873833
0.572255,0.779489,0.965516,0.873746
0.571912,0.779471,0.96542,0.873658
0.571568,0.779453,0.965323,0.873571
0.571226,0.779435,0.965227,0.873484
0.571168,0.779417,0.96513,0.873396
0.571111,0.779399,0.993985,0.873309
0.570769,0.779381,0.993885,0.873222
0.570426,0.779363,0.993786,0.873134
0.570084,0.779345,0.993687,0.873047
0.569742,0.779327,0.993587,0.87296
0.5694,0.779309,0.993488,0.872872
0.569059,0.779291,0.993389,0.872785
0.568717,0.779273,0.993289,0.872698
0.568376,0.779255,0.99319,0.872611
0.568035,0.779237,0.993091,0.872523
0.567694,0.779219,0.992991,0.872436
0.567354,0.779201,0.992892,0.872349
0.567013,0.779183,0.992793,0.872262
0.566673,0.779165,0.992693,0.872174
0.566333,0.779147,0.992594,0.872087
0.565993,0.779129,0.992495,0.872
0.565654,0.779111,0.992396,0.871913
0.565314,0.779093,0.992296,0.871826
0.564975,0.779075,0.992197,0.871738
0.564636,0.779057,0.992098,0.871651
0.564297,0.779039,0.991999,0.871564
0.563959,0.779021,0.991899,0.871477
0.563621,0.779003,0.9918,0.87139
0.563282,0.778985,0.991701,0.871303
0.563226,0.778967,0.991602,0.871215
0.56317,0.778949,1,0.871128
0.562832,0.778931,0.9999,0.871041
0.562494,0.778913,0.9998,0.870954
0.562157,0.778895,0.9997,0.870867
0.561819,0.778877,0.9996,0.87078
0.561482,0.778859,0.9995,0.870693
0.561146,0.778841,0.9994,0.870606
0.560809,0.778823,0.9993,0.870519
0.560472,0.778805,0.9992,0.870432
0.560136,0.778787,0.9991,0.870345
0.5598,0.778769,0.999,0.870258
0.559464,0.778751,0.998901,0.870171
0.559129,0.778732,0.998801,0.870084
0.558793,0.778714,0.998701,0.869997
0.558458,0.778696,0.998601,0.86991
0.558123,0.778678,0.998501,0.869823
0.557788,0.77866,0.998401,0.869736
0.557453,0.778642,0.998301,0.869649
0.557119,0.778624,0.998202,0.869562
0.556785,0.778606,0.998102,0.869475
0.556451,0.778588,0.998002,0.869388
0.556395,0.77857,0.997902,0.869301
0.556339,0.778552,1,0.869214
0.556006,0.778534,0.9999,0.869127
0.555672,0.778516,0.9998,0.86904
0.555339,0.778498,0.9997,0.868953
0.555005,0.77848,0.9996,0.868866
0.554672,0.778462,0.9995,0.868779
0.55434,0.778444,0.9994,0.868692
0.554007,0.778426,0.9993,0.868606
0.553675,0.778408,0.9992,0.868519
0.553343,0.77839,0.9991,0.868432
0.553011,0.778372,0.999,0.868345
0.552679,0.778354,0.998901,0.868258
0.552347,0.778336,0.998801,0.868171
0.552016,0.778318,0.998701,0.868085
0.551685,0.7783,0.998601,0.867998
0.551354,0.778282,0.998501,0.867911
0.551023,0.778264,0.998401,0.867824
0.550692,0.778246,0.998301,0.867737
0.550362,0.778228,0.998202,0.867651
0.550032,0.77821,0.998102,0.867564
0.549702,0.778192,0.998002,0.867477
0.549372,0.778174,0.997902,0.86739
0.549042,0.778156,0.997802,0.867304
0.548713,0.778138,0.997703,0.867217
0.548384,0.77812,0.997603,0.86713
0.548055,0.778102,0.997503,0.867043
0.547726,0.778084,0.997403,0.866957
0.547671,0.778066,0.997304,0.86687
0.547616,0.778048,1,0.866783
0.547288,0.77803,0.9999,0.866697
0.54696,0.778012,0.9998,0.86661
0.546631,0.777994,0.9997,0.866523
0.546303,0.777976,0.9996,0.866437
0.545976,0.777958,0.9995,0.86635
0.545648,0.77794,0.9994,0.866263
0.545321,0.777922,0.9993,0.866177
0.544994,0.777904,0.9992,0.86609
0.544667,0.777886,0.9991,0.866004
0.54434,0.777869,0.999,0.865917
0.544013,0.777851,0.998901,0.86583
0.543687,0.777833,0.998801,0.865744
0.543361,0.777815,0.998701,0.865657
0.543035,0.777797,0.998601,0.865571
0.542709,0.777779,0.998501,0.865484
0.542383,0.777761,0.998401,0.865398
0.542058,0.777743,0.998301,0.865311
0.541733,0.777725,0.998202,0.865224
0.541408,0.777707,0.998102,0.865138
0.541083,0.777689,0.998002,0.865051
0.540758,0.777671,0.997902,0.864965
0.540434,0.777653,0.997802,0.864878
0.54011,0.777635,0.997703,0.864792
0.539786,0.777617,0.997603,0.864705
0.539462,0.777599,0.997503,0.864619
0.539138,0.777581,0.997403,0.864533
0.538815,0.777563,0.997304,0.864446
0.538491,0.777545,0.997204,0.86436
0.538168,0.777527,0.997104,0.864273
0.537845,0.777509,0.997004,0.864187
0.537523,0.777491,0.996905,0.8641
0.5372,0.777473,0.996805,0.864014
0.536878,0.777455,0.996705,0.863928
0.536556,0.777437,0.996606,0.863841
0.536234,0.777419,0.996506,0.863755
0.535912,0.777401,0.996406,0.863668
0.535591,0.777383,0.996307,0.863582
0.535269,0.777365,0.996207,0.863496
0.535216,0.777347,0.996107,0.863409
0.535162,0.777329,1,0.863323
0.534841,0.777311,0.9999,0.863237
0.53452,0.777293,0.9998,0.86315
0.5342,0.777275,0.9997,0.863064
0.533879,0.777257,0.9996,0.862978
0.533559,0.777239,0.9995,0.862891
0.533239,0.777221,0.9994,0.862805
0.532919,0.777203,0.9993,0.862719
0.532599,0.777185,0.9992,0.862633
0.53228,0.777167,0.9991,0.862546
0.53196,0.777149,0.999,0.86246
0.531641,0.777131,0.998901,0.862374
0.531322,0.777113,0.998801,0.862288
0.531003,0.777095,0.998701,0.862201
0.530685,0.777077,0.998601,0.862115
0.530366,0.777059,0.998501,0.862029
0.530313,0.777041,0.998401,0.861943
0.53026,0.777023,1,0.861856
0.529942,0.777005,0.9999,0.86177
0.529624,0.776988,0.9998,0.861684
0.529307,0.77697,0.9997,0.861598
0.528989,0.776952,0.9996,0.861512
0.528672,0.776934,0.9995,0.861426
0.528354,0.776916,0.9994,0.861339
0.528037,0.776898,0.9993,0.861253
0.527721,0.77688,0.9992,0.861167
0.527404,0.776862,0.9991,0.861081
0.527088,0.776844,0.999,0.860995
0.526771,0.776826,0.998901,0.860909
0.526455,0.776808,0.998801,0.860823
0.52614,0.77679,0.998701,0.860737
0.525824,0.776772,0.998601,0.860651
0.525508,0.776754,0.998501,0.860565
0.525456,0.776736,0.998401,0.860479
0.525403,0.776718,1,0.860392
0.525088,0.7767,0.9999,0.860306
0.524773,0.776682,0.9998,0.86022
0.524458,0.776664,0.9997,0.860134
0.524144,0.776646,0.9996,0.860048
0.523829,0.776628,0.9995,0.859962
0.523515,0.77661,0.9994,0.859876
0.523201,0.776592,0.9993,0.85979
0.522887,0.776574,0.9992,0.859704
0.522573,0.776556,0.9991,0.859618
0.52226,0.776538,0.999,0.859532
0.521946,0.77652,0.998901,0.859447
0.521633,0.776502,0.998801,0.859361
0.52132,0.776485,0.998701,0.859275
0.521007,0.776467,0.998601,0.859189
0.520955,0.776449,0.998501,0.859103
0.520903,0.776431,1,0.859017
0.520591,0.776413,0.9999,0.858931
0.520278,0.776395,0.9998,0.858845
0.519966,0.776377,0.9997,0.858759
0.519654,0.776359,0.9996,0.858673
0.519343,0.776341,0.9995,0.858587
0.519031,0.776323,0.9994,0.858502
0.51872,0.776305,0.9993,0.858416
0.518408,0.776287,0.9992,0.85833
0.518097,0.776269,0.9991,0.858244
0.517787,0.776251,0.999,0.858158
0.517476,0.776233,0.998901,0.858072
0.517165,0.776215,0.998801,0.857987
0.516855,0.776197,0.998701,0.857901
0.516545,0.776179,0.998601,0.857815
0.516493,0.776161,0.998501,0.857729
0.516442,0.776143,1,0.857644
0.516132,0.776125,0.9999,0.857558
0.515822,0.776108,0.9998,0.857472
0.515513,0.77609,0.9997,0.857386
0.515204,0.776072,0.9996,0.8573
0.514894,0.776054,0.9995,0.857215
0.514586,0.776036,0.9994,0.857129
0.514277,0.776018,0.9993,0.857043
0.513968,0.776,0.9992,0.856958
0.51366,0.775982,0.9991,0.856872
0.513352,0.775964,0.999,0.856786
0.513044,0.775946,0.998901,0.856701
0.512736,0.775928,0.998801,0.856615
0.512428,0.77591,0.998701,0.856529
0.512121,0.775892,0.998601,0.856444
0.511814,0.775874,0.998501,0.856358
0.511507,0.775856,0.998401,0.856272
0.511455,0.775838,0.998301,0.856187
0.511404,0.77582,1,0.856101
0.511097,0.775802,0.9999,0.856015
0.510791,0.775785,0.9998,0.85593
0.510484,0.775767,0.9997,0.855844
0.510178,0.775749,0.9996,0.855759
0.509872,0.775731,0.9995,0.855673
0.509566,0.775713,0.9994,0.855588
0.50926,0.775695,0.9993,0.855502
0.508955,0.775677,0.9992,0.855416
0.50865,0.775659,0.9991,0.855331
0.508344,0.775641,0.999,0.855245
0.508039,0.775623,0.998901,0.85516
0.507735,0.775605,0.998801,0.855074
0.50743,0.775587,0.998701,0.854989
0.507126,0.775569,0.998601,0.854903
0.506821,0.775551,0.998501,0.854818
0.506517,0.775533,0.998401,0.854732
0.506213,0.775515,0.998301,0.854647
0.50591,0.775497,0.998202,0.854561
0.505606,0.77548,0.998102,0.854476
0.505303,0.775462,0.998002,0.85439
0.505,0.775444,0.997902,0.854305
0.504697,0.775426,0.997802,0.85422
0.504394,0.775408,0.997703,0.854134
0.504091,0.77539,0.997603,0.854049
0.503789,0.775372,0.997503,0.853963
0.503487,0.775354,0.997403,0.853878
0.503185,0.775336,0.997304,0.853793
0.502883,0.775318,0.997204,0.853707
0.502581,0.7753,0.997104,0.853622
0.502279,0.775282,0.997004,0.853536
0.501978,0.775264,0.996905,0.853451
0.501677,0.775246,0.996805,0.853366
0.501376,0.775229,0.996705,0.85328
0.501075,0.775211,0.996606,0.853195
0.500775,0.775193,0.996506,0.85311
0.500474,0.775175,0.996406,0.853024
0.500174,0.775157,0.996307,0.852939
0.499874,0.775139,0.996207,0.852854
0.499574,0.775121,0.996107,0.852769
0.499274,0.775103,0.996008,0.852683
0.498975,0.775085,0.995908,0.852598
0.498675,0.775067,0.995809,0.852513
0.498376,0.775049,0.995709,0.852428
0.498077,0.775031,0.995609,0.852342
0.497778,0.775013,0.99551,0.852257
0.49748,0.774995,0.99541,0.852172
0.497181,0.774978,0.995311,0.852087
0.496883,0.77496,0.995211,0.852001
